"ID"	"species"	"family"
"TP0467"	"Trichosanthes cucumerina"	"Cucurbitaceae"
"TP0468"	"Trichosanthes cucumerina"	"Cucurbitaceae"
"TP0469"	"Trichosanthes cucumerina"	"Cucurbitaceae"
"TP0479"	"Citrus sinensis"	"Rutaceae"
"TP0480"	"Citrus sinensis"	"Rutaceae"
"TP0501"	"Quillaja saponaria"	"Quillajaceae"
"TP0502"	"Bauhinia forficata"	"Fabaceae"
"TP0503"	"Bauhinia forficata"	"Fabaceae"
"TP0504"	"Bauhinia forficata"	"Fabaceae"
"TP0505"	"Bauhinia forficata"	"Fabaceae"
