"ID"	"species"	"family"
"TP0053"	"Eleutherococcus senticosus"	"Araliaceae"
"TP0054"	"Lagerstroemia speciosa"	"Lythraceae"
"TP0055"	"Lagerstroemia speciosa"	"Lythraceae"
"TP0056"	"Solanum lycopersicum"	"Solanaceae"
"TP0057"	"Betula platyphylla"	"Betulaceae"
"TP0058"	"Bruguiera gymnorhiza"	"Rhizophoraceae"
"TP0059"	"Glycyrrhiza glabra"	"Fabaceae"
"TP0060"	"Kalanchoe daigremontiana"	"Crassulaceae"
"TP0061"	"Lotus japonicus"	"Fabaceae"
"TP0062"	"Olea europaea"	"Oleaceae"
"TP0063"	"Ricinus communis"	"Euphorbiaceae"
"TP0064"	"Taraxacum officinale"	"Asteraceae"
"TP0065"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0067"	"Barbarea vulgaris subsp. arcuata"	"Brassicaceae"
"TP0068"	"Barbarea vulgaris subsp. arcuata"	"Brassicaceae"
"TP0069"	"Malus domestica"	"Rosaceae"
"TP0070"	"Lagerstroemia speciosa"	"Lythraceae"
"TP0071"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0072"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0073"	"Aster tataricus"	"Asteraceae"
"TP0074"	"Kalanchoe daigremontiana"	"Crassulaceae"
"TP0075"	"Kalanchoe daigremontiana"	"Crassulaceae"
"TP0076"	"Kalanchoe daigremontiana"	"Crassulaceae"
"TP0077"	"Luffa aegyptiaca"	"Cucurbitaceae"
"TP0079"	"Panax ginseng"	"Araliaceae"
"TP0080"	"Stevia rebaudiana"	"Asteraceae"
"TP0081"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0082"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0083"	"Rhizophora stylosa"	"Rhizophoraceae"
"TP0084"	"Malus domestica"	"Rosaceae"
"TP0085"	"Rhizophora stylosa"	"Rhizophoraceae"
"TP0086"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0087"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0088"	"Melia azedarach"	"Meliaceae"
"TP0090"	"Azadirachta indica"	"Meliaceae"
"TP0092"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0094"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0095"	"Pisum sativum"	"Fabaceae"
"TP0096"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0097"	"Hellenia speciosa"	"Costaceae"
"TP0098"	"Kandelia candel"	"Rhizophoraceae"
"TP0099"	"Lotus japonicus"	"Fabaceae"
"TP0100"	"Sorghum bicolor"	"Poaceae"
"TP0101"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0102"	"Avena strigosa"	"Poaceae"
"TP0104"	"Brachypodium distachyon"	"Poaceae"
"TP0105"	"Brachypodium distachyon"	"Poaceae"
"TP0107"	"Triticum aestivum"	"Poaceae"
"TP0108"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0110"	"Melia azedarach"	"Meliaceae"
"TP0112"	"Citrus sinensis"	"Rutaceae"
"TP0113"	"Melia azedarach"	"Meliaceae"
"TP0115"	"Lotus japonicus"	"Fabaceae"
"TP0116"	"Ajuga reptans"	"Lamiaceae"
"TP0117"	"Medicago truncatula"	"Fabaceae"
"TP0118"	"Medicago truncatula"	"Fabaceae"
"TP0119"	"Medicago truncatula"	"Fabaceae"
"TP0120"	"Medicago truncatula"	"Fabaceae"
"TP0121"	"Medicago truncatula"	"Fabaceae"
"TP0122"	"Medicago truncatula"	"Fabaceae"
"TP0123"	"Medicago truncatula"	"Fabaceae"
"TP0124"	"Medicago truncatula"	"Fabaceae"
"TP0125"	"Medicago truncatula"	"Fabaceae"
"TP0126"	"Glycine max"	"Fabaceae"
"TP0127"	"Glycine max"	"Fabaceae"
"TP0128"	"Glycyrrhiza uralensis"	"Fabaceae"
"TP0129"	"Glycyrrhiza glabra"	"Fabaceae"
"TP0130"	"Glycyrrhiza pallidiflora"	"Fabaceae"
"TP0131"	"Phaseolus vulgaris"	"Fabaceae"
"TP0132"	"Kalopanax septemlobus"	"Araliaceae"
"TP0134"	"Barbarea vulgaris"	"Brassicaceae"
"TP0135"	"Medicago truncatula"	"Fabaceae"
"TP0136"	"Medicago truncatula"	"Fabaceae"
"TP0137"	"Medicago truncatula"	"Fabaceae"
"TP0138"	"Medicago truncatula"	"Fabaceae"
"TP0139"	"Glycyrrhiza uralensis"	"Fabaceae"
"TP0140"	"Trigonella foenum-graecum"	"Fabaceae"
"TP0141"	"Paris polyphylla"	"Melanthiaceae"
"TP0142"	"Spinacia oleracea"	"Chenopodiaceae"
"TP0144"	"Phaseolus angularis"	"Fabaceae"
"TP0145"	"Lotus japonicus"	"Fabaceae"
"TP0146"	"Trifolium pratense"	"Fabaceae"
"TP0147"	"Cucumis sativus"	"Cucurbitaceae"
"TP0148"	"Cucumis melo"	"Cucurbitaceae"
"TP0150"	"Momordica charantia"	"Cucurbitaceae"
"TP0151"	"Trigonella foenum-graecum"	"Fabaceae"
"TP0152"	"Tripterygium wilfordii"	"Celastraceae"
"TP0153"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0154"	"Solanum lycopersicum"	"Solanaceae"
"TP0155"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0156"	"Solanum lycopersicum"	"Solanaceae"
"TP0157"	"Maesa lanceolata"	"Primulaceae"
"TP0158"	"Siraitia grosvenorii"	"Cucurbitaceae"
"TP0159"	"Cucumis sativus"	"Cucurbitaceae"
"TP0160"	"Cucumis melo"	"Cucurbitaceae"
"TP0161"	"Medicago truncatula"	"Fabaceae"
"TP0166"	"Glycyrrhiza uralensis"	"Fabaceae"
"TP0167"	"Cucumis sativus"	"Cucurbitaceae"
"TP0168"	"Momordica charantia"	"Cucurbitaceae"
"TP0169"	"Momordica charantia"	"Cucurbitaceae"
"TP0170"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0171"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0172"	"Oryza sativa subsp. japonica"	"Poaceae"
"TP0173"	"Solanum lycopersicum"	"Solanaceae"
"TP0174"	"Veratrum californicum"	"Melanthiaceae"
"TP0175"	"Paris polyphylla"	"Melanthiaceae"
"TP0176"	"Trigonella foenum-graecum"	"Fabaceae"
"TP0177"	"Trigonella foenum-graecum"	"Fabaceae"
"TP0178"	"Paris polyphylla"	"Melanthiaceae"
"TP0180"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0181"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0182"	"Oryza sativa subsp. japonica"	"Poaceae"
"TP0183"	"Oryza sativa subsp. japonica"	"Poaceae"
"TP0184"	"Veratrum californicum"	"Melanthiaceae"
"TP0185"	"Paris polyphylla"	"Melanthiaceae"
"TP0186"	"Dioscorea zingiberensis"	"Dioscoreaceae"
"TP0187"	"Ilex asprella"	"Aquifoliaceae"
"TP0188"	"Glycine max"	"Fabaceae"
"TP0189"	"Medicago truncatula"	"Fabaceae"
"TP0190"	"Glycyrrhiza uralensis"	"Fabaceae"
"TP0191"	"Arachis hypogaea"	"Fabaceae"
"TP0192"	"Cicer arietinum"	"Fabaceae"
"TP0193"	"Glycyrrhiza glabra"	"Fabaceae"
"TP0194"	"Lens culinaris"	"Fabaceae"
"TP0195"	"Pisum sativum"	"Fabaceae"
"TP0196"	"Phaseolus vulgaris"	"Fabaceae"
"TP0198"	"Paris polyphylla"	"Melanthiaceae"
"TP0199"	"Paris polyphylla"	"Melanthiaceae"
"TP0201"	"Veratrum californicum"	"Melanthiaceae"
"TP0203"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0204"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0207"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0208"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0209"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0210"	"Solanum lycopersicum"	"Solanaceae"
"TP0211"	"Tripterygium wilfordii"	"Celastraceae"
"TP0212"	"Tripterygium wilfordii"	"Celastraceae"
"TP0213"	"Tripterygium wilfordii"	"Celastraceae"
"TP0214"	"Monteverdia ilicifolia"	"Celastraceae"
"TP0216"	"Ilex asprella"	"Aquifoliaceae"
"TP0217"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0218"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0219"	"Medicago truncatula"	"Fabaceae"
"TP0220"	"Artemisia annua"	"Asteraceae"
"TP0221"	"Vitis vinifera"	"Vitaceae"
"TP0222"	"Vitis vinifera"	"Vitaceae"
"TP0223"	"Solanum lycopersicum"	"Solanaceae"
"TP0224"	"Solanum lycopersicum"	"Solanaceae"
"TP0225"	"Olea europaea"	"Oleaceae"
"TP0226"	"Beta vulgaris"	"Chenopodiaceae"
"TP0227"	"Coffea arabica"	"Rubiaceae"
"TP0228"	"Lotus japonicus"	"Fabaceae"
"TP0229"	"Panax ginseng"	"Araliaceae"
"TP0230"	"Maesa lanceolata"	"Primulaceae"
"TP0231"	"Chenopodium quinoa"	"Chenopodiaceae"
"TP0232"	"Chenopodium quinoa"	"Chenopodiaceae"
"TP0233"	"Barbarea vulgaris subsp. arcuata"	"Brassicaceae"
"TP0234"	"Barbarea vulgaris"	"Brassicaceae"
"TP0235"	"Centella asiatica"	"Apiaceae"
"TP0236"	"Centella asiatica"	"Apiaceae"
"TP0237"	"Kalopanax septemlobus"	"Araliaceae"
"TP0238"	"Aquilegia coerulea"	"Ranunculaceae"
"TP0239"	"Aquilegia coerulea"	"Ranunculaceae"
"TP0240"	"Aquilegia coerulea"	"Ranunculaceae"
"TP0241"	"Platycodon grandiflorus"	"Campanulaceae"
"TP0242"	"Platycodon grandiflorus"	"Campanulaceae"
"TP0243"	"Platycodon grandiflorus"	"Campanulaceae"
"TP0244"	"Catharanthus roseus"	"Apocynaceae"
"TP0245"	"Rosmarinus officinalis"	"Lamiaceae"
"TP0246"	"Malus domestica"	"Rosaceae"
"TP0247"	"Glycyrrhiza uralensis"	"Fabaceae"
"TP0248"	"Betula platyphylla"	"Betulaceae"
"TP0249"	"Ilex asprella"	"Aquifoliaceae"
"TP0251"	"Eleutherococcus senticosus"	"Araliaceae"
"TP0252"	"Polygala tenuifolia"	"Polygalaceae"
"TP0253"	"Ocimum basilicum"	"Lamiaceae"
"TP0254"	"Ocimum basilicum"	"Lamiaceae"
"TP0255"	"Avicennia marina"	"Acanthaceae"
"TP0256"	"Lagerstroemia speciosa"	"Lythraceae"
"TP0257"	"Lagerstroemia speciosa"	"Lythraceae"
"TP0260"	"Centella asiatica"	"Apiaceae"
"TP0261"	"Crataegus pinnatifida"	"Rosaceae"
"TP0263"	"Avicennia marina"	"Acanthaceae"
"TP0264"	"Lagerstroemia speciosa"	"Lythraceae"
"TP0265"	"Solanum lycopersicum"	"Solanaceae"
"TP0266"	"Centella asiatica"	"Apiaceae"
"TP0268"	"Panax ginseng"	"Araliaceae"
"TP0269"	"Platycodon grandiflorus"	"Campanulaceae"
"TP0270"	"Panax ginseng"	"Araliaceae"
"TP0271"	"Bupleurum falcatum"	"Apiaceae"
"TP0273"	"Citrus clementina"	"Rutaceae"
"TP0276"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0277"	"Oryza sativa subsp. japonica"	"Poaceae"
"TP0278"	"Solanum lycopersicum"	"Solanaceae"
"TP0279"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0280"	"Solanum lycopersicum"	"Solanaceae"
"TP0281"	"Crataegus pinnatifida"	"Rosaceae"
"TP0282"	"Panax ginseng"	"Araliaceae"
"TP0284"	"Panax ginseng"	"Araliaceae"
"TP0285"	"Panax ginseng"	"Araliaceae"
"TP0286"	"Panax ginseng"	"Araliaceae"
"TP0287"	"Medicago truncatula"	"Fabaceae"
"TP0288"	"Glycine max"	"Fabaceae"
"TP0289"	"Glycyrrhiza uralensis"	"Fabaceae"
"TP0290"	"Barbarea vulgaris"	"Brassicaceae"
"TP0291"	"Barbarea vulgaris"	"Brassicaceae"
"TP0292"	"Barbarea vulgaris"	"Brassicaceae"
"TP0293"	"Barbarea vulgaris"	"Brassicaceae"
"TP0294"	"Barbarea vulgaris subsp. arcuata"	"Brassicaceae"
"TP0295"	"Barbarea vulgaris subsp. arcuata"	"Brassicaceae"
"TP0296"	"Barbarea vulgaris subsp. arcuata"	"Brassicaceae"
"TP0297"	"Barbarea vulgaris"	"Brassicaceae"
"TP0298"	"Barbarea vulgaris subsp. arcuata"	"Brassicaceae"
"TP0299"	"Barbarea vulgaris subsp. arcuata"	"Brassicaceae"
"TP0300"	"Glycine max"	"Fabaceae"
"TP0301"	"Medicago truncatula"	"Fabaceae"
"TP0302"	"Glycine max"	"Fabaceae"
"TP0303"	"Glycyrrhiza uralensis"	"Fabaceae"
"TP0304"	"Glycyrrhiza uralensis"	"Fabaceae"
"TP0305"	"Medicago truncatula"	"Fabaceae"
"TP0306"	"Medicago truncatula"	"Fabaceae"
"TP0307"	"Medicago truncatula"	"Fabaceae"
"TP0308"	"Solanum aculeatissimum"	"Solanaceae"
"TP0309"	"Solanum lycopersicum"	"Solanaceae"
"TP0310"	"Solanum lycopersicum"	"Solanaceae"
"TP0311"	"Glycine max"	"Fabaceae"
"TP0312"	"Glycyrrhiza uralensis"	"Fabaceae"
"TP0313"	"Centella asiatica"	"Apiaceae"
"TP0314"	"Centella asiatica"	"Apiaceae"
"TP0321"	"Gypsophila vaccaria"	"Caryophyllaceae"
"TP0322"	"Siraitia grosvenorii"	"Cucurbitaceae"
"TP0323"	"Panax ginseng"	"Araliaceae"
"TP0324"	"Panax ginseng"	"Araliaceae"
"TP0325"	"Ilex asprella"	"Aquifoliaceae"
"TP0330"	"Avena strigosa"	"Poaceae"
"TP0331"	"Glycine max"	"Fabaceae"
"TP0334"	"Solanum lycopersicum"	"Solanaceae"
"TP0335"	"Solanum lycopersicum"	"Solanaceae"
"TP0336"	"Panax ginseng"	"Araliaceae"
"TP0337"	"Avena strigosa"	"Poaceae"
"TP0338"	"Glycine max"	"Fabaceae"
"TP0339"	"Panax zingiberensis"	"Araliaceae"
"TP0340"	"Panax zingiberensis"	"Araliaceae"
"TP0341"	"Panax zingiberensis"	"Araliaceae"
"TP0342"	"Panax japonicus var. bipinnatifidus"	"Araliaceae"
"TP0343"	"Panax quinquefolius"	"Araliaceae"
"TP0344"	"Panax quinquefolius"	"Araliaceae"
"TP0345"	"Glycyrrhiza uralensis"	"Fabaceae"
"TP0346"	"Lotus japonicus"	"Fabaceae"
"TP0347"	"Glycine max"	"Fabaceae"
"TP0348"	"Glycine max"	"Fabaceae"
"TP0349"	"Glycine max"	"Fabaceae"
"TP0350"	"Spinacia oleracea"	"Chenopodiaceae"
"TP0353"	"Medicago sativa"	"Fabaceae"
"TP0355"	"Glycyrrhiza uralensis"	"Fabaceae"
"TP0356"	"Lotus japonicus"	"Fabaceae"
"TP0359"	"Avena strigosa"	"Poaceae"
"TP0360"	"Brachypodium distachyon"	"Poaceae"
"TP0361"	"Cucumis sativus"	"Cucurbitaceae"
"TP0362"	"Cucumis melo"	"Cucurbitaceae"
"TP0363"	"Boswellia serrata"	"Burseraceae"
"TP0368"	"Citrus clementina"	"Rutaceae"
"TP0372"	"Avena strigosa"	"Poaceae"
"TP0373"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0374"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0375"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0376"	"Glycine max"	"Fabaceae"
"TP0377"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0378"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0379"	"Solanum tuberosum"	"Solanaceae"
"TP0380"	"Solanum lycopersicum"	"Solanaceae"
"TP0381"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0382"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0383"	"Triticum aestivum"	"Poaceae"
"TP0384"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0385"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0386"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0387"	"Zea mays"	"Poaceae"
"TP0388"	"Solanum lycopersicum"	"Solanaceae"
"TP0389"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0390"	"Alkekengi officinarum"	"Solanaceae"
"TP0391"	"Withania somnifera"	"Solanaceae"
"TP0392"	"Capsicum annuum"	"Solanaceae"
"TP0393"	"Alkekengi officinarum"	"Solanaceae"
"TP0394"	"Alkekengi officinarum"	"Solanaceae"
"TP0395"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0396"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0397"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0398"	"Glycine max"	"Fabaceae"
"TP0399"	"Glycine max"	"Fabaceae"
"TP0400"	"Glycine max"	"Fabaceae"
"TP0401"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0402"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0403"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0404"	"Solanum lycopersicum"	"Solanaceae"
"TP0405"	"Solanum lycopersicum"	"Solanaceae"
"TP0406"	"Solanum tuberosum"	"Solanaceae"
"TP0407"	"Solanum tuberosum"	"Solanaceae"
"TP0408"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0409"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0410"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0411"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0412"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0413"	"Veratrum californicum"	"Melanthiaceae"
"TP0415"	"Citrus sinensis"	"Rutaceae"
"TP0423"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0424"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0425"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0426"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0427"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0428"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0429"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0430"	"Cucumis sativus"	"Cucurbitaceae"
"TP0431"	"Cucumis sativus"	"Cucurbitaceae"
"TP0432"	"Glycyrrhiza uralensis"	"Fabaceae"
"TP0433"	"Medicago truncatula"	"Fabaceae"
"TP0434"	"Medicago truncatula"	"Fabaceae"
"TP0435"	"Medicago truncatula"	"Fabaceae"
"TP0437"	"Withania somnifera"	"Solanaceae"
"TP0438"	"Populus trichocarpa"	"Salicaceae"
"TP0439"	"Populus trichocarpa"	"Salicaceae"
"TP0440"	"Populus trichocarpa"	"Salicaceae"
