"ID"	"species"	"family"
"TP0001"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0002"	"Lotus japonicus"	"Fabaceae"
"TP0003"	"Panax ginseng"	"Araliaceae"
"TP0004"	"Adiantum capillus-veneris"	"Pteridaceae"
"TP0005"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0006"	"Betula platyphylla"	"Betulaceae"
"TP0007"	"Betula platyphylla"	"Betulaceae"
"TP0008"	"Hellenia speciosa"	"Costaceae"
"TP0009"	"Cucurbita pepo"	"Cucurbitaceae"
"TP0010"	"Glycyrrhiza glabra"	"Fabaceae"
"TP0011"	"Kalanchoe daigremontiana"	"Crassulaceae"
"TP0012"	"Kandelia candel"	"Rhizophoraceae"
"TP0013"	"Lotus japonicus"	"Fabaceae"
"TP0014"	"Luffa aegyptiaca"	"Cucurbitaceae"
"TP0015"	"Oryza sativa subsp. japonica"	"Poaceae"
"TP0016"	"Panax ginseng"	"Araliaceae"
"TP0017"	"Pisum sativum"	"Fabaceae"
"TP0018"	"Rhizophora stylosa"	"Rhizophoraceae"
"TP0019"	"Ricinus communis"	"Euphorbiaceae"
"TP0020"	"Lagerstroemia speciosa"	"Lythraceae"
"TP0021"	"Cucurbita pepo"	"Cucurbitaceae"
"TP0022"	"Siraitia grosvenorii"	"Cucurbitaceae"
"TP0023"	"Oryza sativa subsp. japonica"	"Poaceae"
"TP0024"	"Oryza sativa subsp. japonica"	"Poaceae"
"TP0025"	"Olea europaea"	"Oleaceae"
"TP0026"	"Malus domestica"	"Rosaceae"
"TP0027"	"Malus domestica"	"Rosaceae"
"TP0030"	"Barbarea vulgaris subsp. arcuata"	"Brassicaceae"
"TP0031"	"Centella asiatica"	"Apiaceae"
"TP0032"	"Catharanthus roseus"	"Apocynaceae"
"TP0033"	"Lagerstroemia speciosa"	"Lythraceae"
"TP0034"	"Arabidopsis thaliana"	"Brassicaceae"
"TP0035"	"Artemisia annua"	"Asteraceae"
"TP0036"	"Aster sedifolius"	"Asteraceae"
"TP0037"	"Avena strigosa"	"Poaceae"
"TP0038"	"Betula platyphylla"	"Betulaceae"
"TP0039"	"Bruguiera gymnorhiza"	"Rhizophoraceae"
"TP0040"	"Euphorbia tirucalli"	"Euphorbiaceae"
"TP0041"	"Glycyrrhiza glabra"	"Fabaceae"
"TP0042"	"Lotus japonicus"	"Fabaceae"
"TP0043"	"Medicago truncatula"	"Fabaceae"
"TP0044"	"Nigella sativa"	"Ranunculaceae"
"TP0045"	"Panax ginseng"	"Araliaceae"
"TP0046"	"Pisum sativum"	"Fabaceae"
"TP0047"	"Solanum lycopersicum"	"Solanaceae"
"TP0048"	"Gypsophila vaccaria"	"Caryophyllaceae"
"TP0049"	"Chenopodium quinoa"	"Chenopodiaceae"
"TP0052"	"Barbarea vulgaris"	"Brassicaceae"
