ID	type	name	pathway	scaffold	function	uniprot	ncbiprotein	pubmed	doi	note
TP0001	OSC	LAS1|LSS	steroid		lanosterol synthase	Q1G1A4		16445886		
TP0002	OSC	OSC7	steroid		lanosterol synthase	Q1ERD3		16531457		
TP0003	OSC	PNZ	steroid		lanosterol synthase	O82141		16531458		
TP0004	OSC	ACX	steroid		cycloartenol synthase	A8R7G3		18154734		
TP0005	OSC	CAS1	steroid		cycloartenol synthase	P38605		7505443		
TP0006	OSC	BPX	steroid		cycloartenol synthase	Q8W3Z4		12736505		
TP0007	OSC	BPX2	steroid		cycloartenol synthase	Q8W3Z3		12736505		
TP0008	OSC	CSOSC1	steroid		cycloartenol synthase	Q8VWY4		11995928		
TP0009	OSC	CPX	steroid		cycloartenol synthase	Q6BE25			10.1016/j.tet.2004.04.088	
TP0010	OSC	GgCAS1	steroid		cycloartenol synthase	Q9SXV6		10706391		
TP0011	OSC	KdCAS	steroid		cycloartenol synthase	E2IUB0		20610397		
TP0012	OSC	KcCAS	steroid		cycloartenol synthase	A7BJ36		17617700		
TP0013	OSC	OSC5	steroid		cycloartenol synthase	Q2WGL6			10.1016/j.plantsci.2005.08.027	
TP0014	OSC	LcCAS1	steroid		cycloartenol synthase	Q9SLP9		11733028		
TP0015	OSC	OsOSC1	steroid		cycloartenol synthase	Q6Z2X6		21526825		
TP0016	OSC	PNX	steroid		cycloartenol synthase	O82139		9746369		
TP0017	OSC	CASPEA	steroid		cycloartenol synthase	O23909		9255418		
TP0018	OSC	RsCAS	steroid		cycloartenol synthase	A7BJ35		17617700		
TP0019	OSC	RcCAS	steroid		cycloartenol synthase	Q2XPU6		16445885		
TP0020	OSC	LsOSC5	steroid		cycloartenol synthase	A0A3S9W0N1		30472753		
TP0021	OSC	CPQ	triterpenoid	cucurbitadienol	cucurbitadienol synthase	Q6BE24			10.1016/j.tet.2004.04.088	
TP0022	OSC	SgCbQ	triterpenoid	cucurbitadienol	cucurbitadienol synthase	K7NBZ9		25759326		
TP0023	OSC	OsOSC2	triterpenoid	parkeol	parkeol synthase	H2KWF1		21526825		
TP0024	OSC	OsOSC6	triterpenoid	achilleol B	achilleol B synthase	Q2R712		21526825		
TP0025	OSC	OEA	triterpenoid	α-amyrin	α-amyrin synthase	A5LHW8		17473469		
TP0026	OSC	MdOSC1	triterpenoid	α-amyrin	α-amyrin synthase	C7SCX0		21575133		
TP0027	OSC	MdOSC3	triterpenoid	α-amyrin	α-amyrin synthase	C7SCX2		27214242		
TP0028	OSC	OSC9	triterpenoid	α-amyrin	α-amyrin synthase		BBK68801.1	31418782		
TP0029	OSC	CqOSC11	triterpenoid	α-amyrin	α-amyrin synthase		XP_021715857.1	37904576		
TP0030	OSC	LUP5-P	triterpenoid	α-amyrin	α-amyrin synthase	A0A0U2THX5		26333142		
TP0031	OSC	CaDDS	triterpenoid	α-amyrin|dammarenediol-II	α-amyrin synthase|dammarenediol-II synthase	Q6QZW8		24434554,19796960		α-amyrin:β-amyrin:dammarenediol-II = 88:11:1 (pubmed:24434554)|dammarenediol-II synthase (pubmed:19796960)
TP0032	OSC	CrAS	triterpenoid	α-amyrin	α-amyrin synthase	I1Z9G0		22837051		
TP0033	OSC	LsOSC2	triterpenoid	α-amyrin	α-amyrin synthase	A0A3S9W0L0		30472753		
TP0034	OSC	LUP4|AtBAS	triterpenoid	β-amyrin	β-amyrin synthase	B6EXY6		18977664		
TP0035	OSC	AaBAS	triterpenoid	β-amyrin	β-amyrin synthase	B1P7H3		18336574		
TP0036	OSC	AsOXA1	triterpenoid	β-amyrin	β-amyrin synthase	Q5D7Q8			10.1016/j.plantsci.2008.04.004	
TP0037	OSC	AsbAS1|Sad1	triterpenoid	β-amyrin	β-amyrin synthase	Q93WU1		11606766		
TP0038	OSC	BPY	triterpenoid	β-amyrin	β-amyrin synthase	Q8W3Z1		12736505		
TP0039	OSC	BgbAS	triterpenoid	β-amyrin	β-amyrin synthase	A8CDT2		17803686		
TP0040	OSC	EtAS	triterpenoid	β-amyrin	β-amyrin synthase	Q401R6		16005035		
TP0041	OSC	GgbAS1	triterpenoid	β-amyrin	β-amyrin synthase	Q9MB42		11510484		
TP0042	OSC	OSC1	triterpenoid	β-amyrin	β-amyrin synthase	Q2WGL8			10.1016/j.plantsci.2005.08.027	
TP0043	OSC	MtAMY1	triterpenoid	β-amyrin	β-amyrin synthase	Q84PE3		12683345		
TP0044	OSC	NsβAS1	triterpenoid	β-amyrin	β-amyrin synthase	B5TTV1		19282005		
TP0045	OSC	PNY	triterpenoid	β-amyrin	β-amyrin synthase	O82140		9746369		
TP0046	OSC	PSY	triterpenoid	β-amyrin	β-amyrin synthase	Q9LRH8		10848960		
TP0047	OSC	SlTTS1	triterpenoid	β-amyrin	β-amyrin synthase	E7DN63		21059824		
TP0048	OSC	SvBS	triterpenoid	β-amyrin	β-amyrin synthase	A3E7Y8		17172290		
TP0049	OSC	CqbAS1	triterpenoid	β-amyrin	β-amyrin synthase	A0A1B2AS17		27457995		
TP0050	OSC	CqOSC1|CqbAS1	triterpenoid	β-amyrin	β-amyrin synthase		XP_021761982.1	37904576		
TP0051	OSC	CqOSC6|CqbAS2	triterpenoid	β-amyrin	β-amyrin synthase		XP_021720271.1	37904576		
TP0052	OSC	LUP5-G	triterpenoid	β-amyrin	β-amyrin synthase	A0A0U2U4F3		26333142		
TP0053	OSC	EsBAS	triterpenoid	β-amyrin	β-amyrin synthase	A0A1P8W708		36952412		
TP0054	OSC	LsOSC3	triterpenoid	β-amyrin	β-amyrin synthase	A0A3S9W0K3		30472753		
TP0055	OSC	LsOSC4	triterpenoid	β-amyrin	β-amyrin synthase	A0A3S9W0K9		30472753		
TP0056	OSC	SlTTS2	triterpenoid	δ-amyrin	δ-amyrin synthase	E7DN64		21059824		
TP0057	OSC	BPW	triterpenoid	lupeol	lupeol synthase	Q8W3Z2		12736505		
TP0058	OSC	BgLUS	triterpenoid	lupeol	lupeol synthase	A8CDT3		17803686		
TP0059	OSC	GgLUS1	triterpenoid	lupeol	lupeol synthase	Q764T8		15256745		
TP0060	OSC	KdLUS	triterpenoid	lupeol	lupeol synthase	E2IUA9		20610397		
TP0061	OSC	OSC3	triterpenoid	lupeol	lupeol synthase	Q2WGL7			10.1016/j.plantsci.2005.08.027	
TP0062	OSC	OEW	triterpenoid	lupeol	lupeol synthase	Q9SLW3		10542078		
