type	name	pathway	substrate_scaffold	function	uniprot	ncbiprotein	pubmed	doi	note
P450	CYP81Q59|Melo3C022375|Cm180	triterpenoid	cucurbitadienol	2β-hydroxylase	A0A1S3CBC7		27892922		
P450	CYP81AM1	triterpenoid	friedelin	24-oxidase		WEW62272.1	37365337		
P450	CYP81AQ19	triterpenoid	cucurbitadienol	23α-hydroxylase	A0A5K7U6A3		31656227		
P450	CYP82J17	steroid		26-hydroxylase	A0A517FND1		31324795		
P450	CYP82AS1	triterpenoid	β-amyrin	22α-hydroxylase	A0A8T8L8F7		38013483		
P450	CYP85A1|BR6ox1	steroid		6-oxidase	Q9FMA5		11402205		
P450	CYP85A1|DWARF	steroid		6-oxidase	Q43147		9990098		
P450	CYP85A2|BR6ox2	steroid		6-oxidase	Q940V4		12529536,15710611		
P450	CYP85A3	steroid		6-oxidase	Q50LE0		15710611		
P450	CYP87D16	triterpenoid	β-amyrin	16α-hydroxylase	A0A0B4KZX8		25578277		
P450	CYP87D18	triterpenoid	cucurbitadienol	11-oxidase	K7NBR2		26903528		
P450	CYP87D20|Csa1G044890|Cs890	triterpenoid	cucurbitadienol	11-oxidase|20β-hydroxylase	A0A0A0LQP6		27892922		
P450	CYP87D20|Melo3C002192|Cm890	triterpenoid	cucurbitadienol	11-oxidase|20β-hydroxylase	A0A1S3AUF5		27892922		
P450	CYP88A13	triterpenoid	β-amyrin	16α-hydroxylase	G7JZW6		32303662		
P450	CYP88A37	triterpenoid	tirucalla-7,24-dien-3β-ol	1α-hydroxylase		WCJ12485.1	36701471		
P450	CYP88A51	triterpenoid	tirucalla-7,24-dien-3β-ol	7,8-epoxidase		WCJ12492.1	36701471		
P450	CYP88A108	triterpenoid	tirucalla-7,24-dien-3β-ol	7,8-epoxidase		WBW48720.1	36701471		
P450	CYP88A164	triterpenoid	tirucalla-7,24-dien-3β-ol	1α-hydroxylase		WBW48724.1	36701471		
P450	CYP88D6	triterpenoid	β-amyrin	11-oxidase	B5BSX1		18779566		
P450	CYP88L2|Csa3G903540	triterpenoid	cucurbitadienol	19-hydroxylase	A0A0A0LHC2		25430763		
P450	CYP88L7	triterpenoid	cucurbitadienol	7-hydroxylase|19-oxidase	A0A5K7U6A4		31656227		
P450	CYP88L8	triterpenoid	cucurbitadienol	7β-hydroxylase	A0A5K7U6M8		31656227		
P450	CYP90A1|CPD	steroid		3-oxidase	Q42569		22822057		
P450	CYP90B1|DWF4	steroid		22S-hydroxylase	O64989		16460510		
P450	CYP90B2|OsDWARF4	steroid		22S-hydroxylase	Q5CCK3		16369540		
P450	CYP90B3	steroid		22S-hydroxylase	A0ZS63		16960392		
P450	CYP90B27v1	steroid		22R-hydroxylase	A0A0F6PML0		25939370		
P450	PpCYP90B27	steroid		22R-hydroxylase	A0A5A4DV62		30268044		
P450	CYP90B50	steroid		16S-hydroxylase|22S-hydroxylase|22R-hydroxylase	A0A517FND3		31324795,34816537		
P450	CYP90B51	steroid		22S-hydroxylase|22R-hydroxylase	A0A517FNC6		34816537,31324795		
P450	CYP90B52	steroid		22S-hydroxylase	A0A517FNB9		31324795		
P450	CYP90B71	steroid		22R-hydroxylase		QPZ88854.1	34816537		
P450	CYP90C1|ROT3	steroid		23R-hydroxylase	Q9M066		17138693		
P450	CYP90D1	steroid		23R-hydroxylase	Q94IA6		17138693		
P450	CYP90D2|D2	steroid		23R-hydroxylase	Q94IW5		22846333		
P450	CYP90D3	steroid		23R-hydroxylase	Q6L4R0		22846333		
P450	CYP90G1v3	steroid		22-oxidase	A0A0F6PMN4		25939370		
P450	CYP90G4	steroid		16S-hydroxylase|22-oxidase	A0A517FNC5		34816537,31324795		
P450	CYP90G6	steroid		16S-hydroxylase|22-oxidase	A0A9D5C7U6		34816537		
P450	CYP93A220|IaAO5	triterpenoid	β-amyrin	24-oxidase	A0A976SHZ3		35422828		
P450	CYP93E1	triterpenoid	β-amyrin	24-oxidase	Q9XHC6		16478469,25453910		
P450	CYP93E2	triterpenoid	β-amyrin	24-hydroxylase	Q2MJ11		23378447		
P450	CYP93E3	triterpenoid	β-amyrin	24-hydroxylase	B5BT05		18779566		
P450	CYP93E4	triterpenoid	β-amyrin	24-oxidase	A0A088LHH3		25453910		
P450	CYP93E5	triterpenoid	β-amyrin	24-oxidase	A0A088LUP1		25453910		
P450	CYP93E6	triterpenoid	β-amyrin	24-oxidase	A0A088LIS6		25453910		
P450	CYP93E7	triterpenoid	β-amyrin	24-hydroxylase	A0A088LHV2		25453910		
P450	CYP93E8	triterpenoid	β-amyrin	24-oxidase	A0A088LM09		25453910		
P450	CYP93E9	triterpenoid	β-amyrin	24-oxidase	A0A088LHH7		25453910		
P450	LjCYP93E1	triterpenoid	β-amyrin	24-hydroxylase		BBF88366.1	31418782		
P450	CYP94D108	steroid		26-hydroxylase	A0A517FNC7		31324795		
P450	CYP94D109	steroid		26-hydroxylase	A0A517FND0		31324795		
P450	CYP94D143	steroid		26-hydroxylase		QPZ88857.1	34816537		
P450	CYP94N1v2	steroid		26-oxidase	A0A0F6PMN1		25939370		
P450	CYP94N8	steroid		26-hydroxylase		QPZ88856.1	34816537		
P450	CYP705A1	triterpenoid	arabidiol	C-C cleavage at C14-C15 bond	Q0WQ07		23570231,25724638		
P450	CYP705A5|THAO	triterpenoid	thalianol	16-oxidase	Q9FI39		31073042		
P450	CYP708A15v2	triterpenoid	cucurbitadienol	22-hydroxylase		UAK14950.1	34264303		
P450	CYP708A16	triterpenoid	cucurbitadienol	16β-hydroxylase		UAK14955.1	34264303		
P450	CYP708A2|THAH	triterpenoid	thalianol	7β-hydroxylase	Q8L7D5		31073042		
P450	CYP710A1	steroid		22-desaturase	O64697		16531502		
P450	CYP710A2	steroid		22-desaturase	O64698		16531502		
P450	CYP710A11	steroid		22-desaturase	Q1T7C2		16531502		
P450	CYP712K1	triterpenoid	friedelin|β-amyrin	29-oxidase	A0A6C0G9Q9		31992268,38013483		
P450	CYP712K2	triterpenoid	friedelin|β-amyrin	29-oxidase	A0A6C0G9N0		31992268,38013483		
P450	CYP712K3	triterpenoid	friedelin|β-amyrin	29-oxidase	A0A6C0G9N1		31992268,38013483		
P450	CYP712K4	triterpenoid	friedelin	29-oxidase	A0A5B8H9L8		31350564		
P450	CYP714E19	triterpenoid	α-amyrin|β-amyrin	23-oxidase			29579306		manual translation of insdc:KT004520.1
P450	CYP714E88|IaAO4	triterpenoid	α-amyrin|β-amyrin	23-oxidase	A0A976SHZ5		35422828		
P450	CYP716A1	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	Q9LVY7		26801524		
P450	CYP716A2	triterpenoid	α-amyrin|β-amyrin|lupeol	16-hydroxylase|22α-hydroxylase|28-hydroxylase	A0A140JWM8		26801524		
P450	CYP716A12	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	Q2MJ20		21821776,22039103		
P450	CYP716A14v2	triterpenoid	α-amyrin|β-amyrin|δ-amyrin	3-oxidase	A0A0B4L1W4		25576188		
P450	CYP716A15	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	F6H9N6		22039103		
P450	CYP716A17	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A5BFI4		22039103		
P450	CYP716A44	triterpenoid	α-amyrin|β-amyrin	28-oxidase	A0A3Q7HBJ5		28194155		
P450	CYP716A46	triterpenoid	α-amyrin|β-amyrin	28-oxidase	K4CEE8		28194155		
P450	CYP716A48	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A090AQE0		31819715		
P450	CYP716A49	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A090AV67		31819715		
P450	CYP716A50	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A090BX92		31819715		
P450	CYP716A51	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A090ATL9		31418782		
P450	CYP716A52v2	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	I7C6E8		24092881,31819715		
P450	CYP716A75	triterpenoid	β-amyrin	28-oxidase	A0A0B4L1W8		25578277		
P450	CYP716A78	triterpenoid	β-amyrin	28-oxidase	A0A1B2AS12		27457995		
P450	CYP716A79	triterpenoid	β-amyrin	28-oxidase	A0A1B2AS18		27457995		
P450	CYP716A80	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A0U2TQ31		26333142		
P450	CYP716A81	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A0U2U8U5		26333142		
P450	CYP716A83	triterpenoid	α-amyrin|β-amyrin	28-oxidase	A0A1I9Q5Y4		28165039		
P450	CYP716A86	triterpenoid	β-amyrin	28-oxidase	A0A1I9Q5Y3		28165039		
P450	CYP716A94	triterpenoid	β-amyrin	28-oxidase	A0A0S2II38		29186583		
P450	CYP716A110	triterpenoid	β-amyrin	28-oxidase	A0A1I9Q5Z9		28165039		
P450	CYP716A111	triterpenoid	β-amyrin	16β-hydroxylase	A0A1L3HEE9		28165039		
P450	CYP716A113v1	steroid		hydroxylase	A0A1I9Q601		28165039		
P450	CYP716A140	triterpenoid	β-amyrin	28-oxidase	A0A1I9Q5Y8		28165039		
P450	CYP716A140v2	triterpenoid	β-amyrin	28-oxidase	A0A1V1FHP8		28371833		
P450	CYP716A141	triterpenoid	β-amyrin	16β-hydroxylase	A0A1I9Q5Z0		28165039		
P450	CYP716A154|CrAO	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	I1TEM3		22837051		renamed from CYP716AL1 (pubmed:28194155)
P450	CYP716A155|RoCYP01	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A6G7GG58		31309269		
P450	CYP716A175	triterpenoid	α-amyrin|β-amyrin|lupeol|germanicol	28-oxidase	A0A498ICX4		27214242		
P450	CYP716A179	triterpenoid	α-amyrin|β-amyrin|lupeol	22α-hydroxylase|28-oxidase	A0A1L7NXK5		28008473		
P450	CYP716A180|BPLO|ATH1	triterpenoid	lupeol	28-oxidase	W8QDR9		27534392		
P450	CYP716A210|IaAO1	triterpenoid	α-amyrin	28-oxidase	A0A6B9MJR5		32508864		
P450	CYP716A224|Qs0259300	triterpenoid	β-amyrin	28-oxidase		WEU75100.1	36952412		
P450	CYP716A244	triterpenoid	β-amyrin	28-oxidase	A0A1P8W705		28012567		
P450	CYP716A249	triterpenoid	β-amyrin	28-oxidase	A0A1Z2WUZ8		33268701		
P450	CYP716A252	triterpenoid	α-amyrin|β-amyrin	28-oxidase	A0A161ABI1		28967669		
P450	CYP716A253	triterpenoid	α-amyrin|β-amyrin	28-oxidase	A0A161ABB0		28967669		
P450	CYP716A259	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A3G9ICU8		31892821		
P450	CYP716A265	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A3S9W0N3		30472753		
P450	CYP716A266	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A3S9W0N6		30472753		
P450	CYP716A268|SOAP2	triterpenoid	β-amyrin	28-oxidase		KNA14400.1	32424305		
P450	CYP716A297|Qs0322000	triterpenoid	β-amyrin	16α-hydroxylase		WEU75088.1	36952412		
P450	CYP716C11	triterpenoid	β-amyrin	2α-hydroxylase	A0A1I9Q5Y7		28165039		
P450	CYP716C49	triterpenoid	β-amyrin	2α-hydroxylase	A0A4P2TT22		30339834		
P450	CYP716C52	triterpenoid	friedelin	2α-hydroxylase		WEW62269.1	37365337		
P450	CYP716C53	triterpenoid	α-amyrin|β-amyrin	2α-hydroxylase	A0A3G9HX35		31892821		
P450	CYP716C55	triterpenoid	α-amyrin|β-amyrin	2α-hydroxylase	A0A3S9W0V9		30472753		
P450	CYP716E26	triterpenoid	α-amyrin|β-amyrin	6β-hydroxylase	A0A3Q7HS74		28194155		
P450	CYP716E41	triterpenoid	β-amyrin	6β-hydroxylase	A0A1I9Q5Y6		28165039		
P450	CYP714E52|Qs0148690	triterpenoid	β-amyrin	23-oxidase		WEU75106.1	36952412		
P450	CYP716S1v2	triterpenoid	dammarenediol-II	6α-hydroxylase	I7CT85		22875608		renamed from CYP716A53v2 (pubmed:28194155)
P450	CYP716S5	triterpenoid	β-amyrin	12,13α-epoxidase	A0A1I9Q5Z1		28165039		
P450	CYP716U1	triterpenoid	dammarenediol-II	12β-hydroxylase	H2DH16		22039120		renamed from CYP716A47 (pubmed:28194155)
P450	CYP716Y1	triterpenoid	α-amyrin|β-amyrin	16α-hydroxylase	W0FW87		24434554		
P450	CYP716AC1	triterpenoid	tirucalla-7,24-dien-3β-ol	3-oxidase		WCJ12484.1	36701471		
P450	CYP716AD2	triterpenoid	tirucalla-7,24-dien-3β-ol	oxidase	V4TSA7		36701471		
P450	CYP716AD4	triterpenoid	tirucalla-7,24-dien-3β-ol	oxidase		WBW48728.1	36701471		
P450	IaAO2	triterpenoid	α-amyrin|β-amyrin	28-oxidase		UKI59124.1	35422828		
P450	CYP724A1	steroid		22S-hydroxylase	A0A1P8BDE8		22196800		
P450	CYP724B1|D11	steroid		22S-hydroxylase	Q6F4F5		16369540		
P450	CYP724B2	steroid		22S-hydroxylase	A0ZS62		16960392		
P450	CYP734A1|BAS1	steroid		26-hydroxylase	O48786		14605216		
P450	CYP734A7	steroid		26-hydroxylase	Q0X087		16872648		
P450	CYP749A63	triterpenoid	β-amyrin	24-hydroxylase	A0A4P2PRK0		30339834		
UGT	UGT71A27	triterpenoid	dammarenediol-II	20-O-glucosyltransferase	A0A0A7HB61		28243734		
UGT	UGT71A29	triterpenoid	dammarenediol-II	20-O-glucosyltransferase|glucosyltransferase			30095259		manual translation of insdc:MH638345.1
UGT	UGT71A53|UGTPg1	triterpenoid	dammarenediol-II	20-O-glucosyltransferase	A0A068J840		24603359		
UGT	UGT71A54|UGTPg100	triterpenoid	dammarenediol-II	6-O-glucosyltransferase	A0A0K0PVW1		26032089		
UGT	UGT71A55|UGTPg101	triterpenoid	dammarenediol-II	6-O-glucosyltransferase|20-O-glucosyltransferase	A0A0K0PVM5		26032089		
UGT	UGT71G1|GT029H	triterpenoid	β-amyrin	glucosyltransferase	Q5IFH7		15743451		
UGT	Sg-9	triterpenoid	β-amyrin	DDMP transferase	I1MKT8		30414191		
UGT	UGT73B27|GuUGAT	triterpenoid	β-amyrin	3-O-glucuronosyltransferase|glucuronosyltransferase	A0A191UPY1		27252088		
UGT	UGT73C10	triterpenoid	α-amyrin|β-amyrin|lupeol	3-O-glucosyltransferase	K4GKX2		23027665		
UGT	UGT73C11	triterpenoid	α-amyrin|β-amyrin|lupeol	3-O-glucosyltransferase	K4GGT4		23027665		
UGT	UGT73C12	triterpenoid	α-amyrin|β-amyrin|lupeol	3-O-glucosyltransferase|glucosyltransferase	K4GIP0		23027665		
UGT	UGT73C13	triterpenoid	α-amyrin|β-amyrin|lupeol	3-O-glucosyltransferase|glucosyltransferase	K4GHS2		23027665		
UGT	UGT73C21	triterpenoid	β-amyrin	3-O-glucosyltransferase	A0A2R4LME5		29603041		
UGT	UGT73C22	triterpenoid	β-amyrin	3-O-glucosyltransferase|28-O-glucosyltransferase	A0A2R4LMG1		29603041		
UGT	UGT73C23	triterpenoid	β-amyrin	3-O-glucosyltransferase|28-O-glucosyltransferase	A0A2R4LMG4		29603041		
UGT	UGT73C25	triterpenoid	β-amyrin	3-O-glucosyltransferase|28-O-glucosyltransferase	A0A2R4LMF9		29603041		
UGT	UGT73C26	triterpenoid	β-amyrin	3-O-glucosyltransferase	A0A2R4LME0		29603041		
UGT	UGT73C27	triterpenoid	β-amyrin	3-O-glucosyltransferase	A0A2R4LME4		29603041		
UGT	UGT73F2|Sg-1b	triterpenoid	β-amyrin	glucosyltransferase	I1KN68		22611180		
UGT	UGT73F3	triterpenoid	β-amyrin	28-O-glucosyltransferase	D2D583		20348429		
UGT	UGT73F4|Sg-1a	triterpenoid	β-amyrin	xylosyltransferase	I7HBP1		22611180		
UGT	UGT73F13	triterpenoid	β-amyrin	3-O-glucosyltransferase	A0A6S4QPQ3		33199711		
UGT	UGT73F17	triterpenoid	β-amyrin	29-O-glucosyltransferase|30-O-glucosyltransferase	A0A346RPJ0		30010690		
UGT	UGT73F18	triterpenoid	β-amyrin	3-O-glucosyltransferase	A0A6M3R760		32303662		
UGT	UGT73F19	triterpenoid	β-amyrin	3-O-glucosyltransferase	A0A396GMB3		32303662		
UGT	UGT73K1|GT049F	triterpenoid	β-amyrin	glucosyltransferase	Q5IFH8		15743451		
UGT	UGT73L1|SaGT4A	steroid		3-O-glucosyltransferase	Q5H861		15821879		
UGT	UGT73L4|GAME2	steroid		xylosyltransferase	E5L3S0		23788733		
UGT	UGT73L5|GAME1	steroid		3-O-galactosyltransferase	A0A3Q7H9C9		22180624		
UGT	UGT73P2|GmSGT2	triterpenoid	β-amyrin	galactosyltransferase	D4Q9Z4		20350545		
UGT	UGT73P12	triterpenoid	β-amyrin	glucuronosyltransferase	A0A5A4WN00		31095780		
UGT	UGT73AD1	triterpenoid	α-amyrin	28-O-glucosyltransferase	A0A172CP19		28716424		
UGT	UGT73AH1	triterpenoid	α-amyrin	28-O-glucosyltransferase	A0A2I7M6C4		29210992		
UGT	UGT73BS1|SOAP9	triterpenoid	β-amyrin	xylosyltransferase		KNA07606.1	32424305		
UGT	UGT73CU3|Qs0123860	triterpenoid	β-amyrin	galactosyltransferase		WEU75099.1	36952412		
UGT	UGT73CX1|Qs0283870	triterpenoid	β-amyrin	xylosyltransferase		WEU75094.1	36952412		
UGT	UGT73CX2|Qs0283850	triterpenoid	β-amyrin	rhamnosyltransferase		WEU75095.1	36952412		
UGT	UGT73CY2|Qs0234140	triterpenoid	β-amyrin	apiosyltransferase		WEU75102.1	36952412		
UGT	UGT73CY3|Qs0234130	triterpenoid	β-amyrin	xylosyltransferase		WEU75103.1	36952412		
UGT	UGT74M1	triterpenoid	β-amyrin	28-O-glucosyltransferase	A3E7Y9		17172290		
UGT	UGT74AC1	triterpenoid	cucurbitadienol	3-O-glucosyltransferase	K7NBW3		25759326		
UGT	UGT74AE2	triterpenoid	dammarenediol-II	3-O-glucosyltransferase	A0A0A6ZFR4		25320211		
UGT	UGT74AE4|UGTPg45	triterpenoid	dammarenediol-II	3-O-glucosyltransferase	A0A0D5ZDC8		25769286		
UGT	UGT74AG5|IaAU1	triterpenoid	α-amyrin|β-amyrin	28-O-glucosyltransferase	A0A6B9MEW2		32508864		
UGT	UGT74BB2|SOAP6	triterpenoid	β-amyrin	28-O-fucosyltransferase		KNA07536.1	32424305		
UGT	UGT74BX1|Qs0321930	triterpenoid	β-amyrin	fucosyltransferase		WEU75090.1	36952412		
UGT	UGT79K1|SOAP7	triterpenoid	β-amyrin	rhamnosyltransferase		KNA23861.1	32424305		
UGT	UGT79L2|SOAP8	triterpenoid	β-amyrin	glucosyltransferase		KNA13786.1	32424305		
UGT	UGT91G16	triterpenoid	β-amyrin	glucosyltransferase	A0A6B9QPZ5		31806756		
UGT	UGT91H4|GmSGT3	triterpenoid	β-amyrin	rhamnosyltransferase	D4Q9Z5		20350545		
