type	name	pathway	substrate_scaffold	function	uniprot	ncbiprotein	pubmed	doi	note
other_enzyme	AtHYD1|A.t.SI1	steroid		8,7-isomerase	O48962		9862498		
other_enzyme	CPI1	steroid		cycloisomerase	Q9M643		10788449		
other_enzyme	Zm8,7SI	steroid		8,7-isomerase	Q2TU57		18459942		
other_enzyme	GAME25	steroid		3-dehydrogenase|5,4-isomerase	Q9LEG3		29784829		
other_enzyme	DIM|DWF1	steroid		24-isomerase|24-reductase	Q39085		9761794		
other_enzyme	Pa24ISO	steroid		24-isomerase	A0A345GPE6		30082386		
other_enzyme	Ws24ISO	steroid		24-isomerase	A0A345GPE5		30082386		
other_enzyme	Ca24ISO	steroid		24-isomerase	A0A1U8GWT4		30082386		
other_enzyme	PaSSR1	steroid		24-reductase	A0A345GPF0		30082386		
other_enzyme	PaSSR2	steroid		24-reductase	A0A345GPF2		30082386		
other_enzyme	SMT1	steroid		24-methyltransferase	Q9LM02		10852933		
other_enzyme	SMT2	steroid		24(1)-methyltransferase	Q39227		8641446		
other_enzyme	SMT3	steroid		24(1)-methyltransferase	Q94JS4		9208946		
other_enzyme	SMT1	steroid		24-methyltransferase	Q43445		8621604		
other_enzyme	SMT2-1	steroid		24(1)-methyltransferase	D2D5G3		19818974		
other_enzyme	SMT2-2	steroid		24(1)-methyltransferase	D2D5G4		19818974		
other_enzyme	DET2	steroid		5α-reductase	Q38944		10398719		
other_enzyme	DWF5	steroid		7-reductase	Q9LDU6		10758495		
other_enzyme	FK	steroid		14-reductase	Q9LDR4		10859166,10859167		
other_enzyme	SlSSR1	steroid		24,28-reductase	A0A0C6FQX1		25217510		
other_enzyme	SlSSR2	steroid		24,25-reductase	A0A0C6G3Q8		25217510		
other_enzyme	StSSR1|dwf1	steroid		24,28-reductase	E1VD15		25217510		
other_enzyme	StSSR2	steroid		24,25-reductase	A0A0C6G5J6		25217510		
other_enzyme	SMO1-1	steroid		4α-methyl oxidase	Q8L7W5		14653780		
other_enzyme	SMO1-2	steroid		4α-methyl oxidase	Q1EC69		14653780		
other_enzyme	SMO1-3	steroid		4α-methyl oxidase	F4JLZ6		14653780		
other_enzyme	SMO2-1	steroid		4α-methyl oxidase	Q9ZW22		14653780		
other_enzyme	SMO2-2	steroid		4α-methyl oxidase	Q8VWZ8		14653780		
other_enzyme	GABAT1v2	steroid		26-transaminase	A0A0F6PLQ0		25939370		
other_enzyme	CsMOI1	triterpenoid	tirucalla-7,24-dien-3β-ol	isomerase		WCJ12493.1	36701471		
other_enzyme	CsMOI2	triterpenoid	tirucalla-7,24-dien-3β-ol	isomerase	A0A067E3D8		36701471		
other_enzyme	MaMOI2	triterpenoid	tirucalla-7,24-dien-3β-ol	isomerase		WBW48721.1	36701471		
other_enzyme	CsSDR	triterpenoid	tirucalla-7,24-dien-3β-ol	3-dehydrogenase		WCJ12483.1	36701471		
other_enzyme	MaSDR	triterpenoid	tirucalla-7,24-dien-3β-ol	3-dehydrogenase		WBW48723.1	36701471		
other_enzyme	MaAKR	triterpenoid	tirucalla-7,24-dien-3β-ol	aldo-keto reductase		WBW48727.1	36701471		
other_enzyme	CsAKR	triterpenoid	tirucalla-7,24-dien-3β-ol	aldo-keto reductase		WCJ12489.1	36701471		
other_enzyme	MaLFS	triterpenoid	tirucalla-7,24-dien-3β-ol	limonoid furan synthase		WBW48729.1	36701471		
other_enzyme	CsLFS	triterpenoid	tirucalla-7,24-dien-3β-ol	limonoid furan synthase		WCJ12491.1	36701471		
TF	MYC2	triterpenoid	thalianol|marneral	regulation of thalianol and marneral biosynthesis	Q39204		37188853		
TF	bHLH18	triterpenoid	thalianol|marneral	regulation of thalianol and marneral biosynthesis	Q1PF17		37188853		
TF	bHLH19	triterpenoid	thalianol|marneral	regulation of thalianol and marneral biosynthesis	Q1PF16		37188853		
TF	bHLH20	triterpenoid	thalianol|marneral	regulation of thalianol and marneral biosynthesis	Q8S3F1		37188853		
TF	bHLH25	triterpenoid	thalianol|marneral	regulation of thalianol and marneral biosynthesis	Q9T072		37188853		
TF	GL2	triterpenoid	thalianol|marneral	regulation of thalianol and marneral biosynthesis	P46607		37188853		
TF	DAG1	triterpenoid	thalianol|marneral	regulation of thalianol and marneral biosynthesis	Q43385		37188853		
TF	Bl|Csa5G156220	triterpenoid	cucurbitadienol	regulation of cucurbitacin biosynthesis	A0A097IYN6		25430763		
TF	Bt|Csa5G157230	triterpenoid	cucurbitadienol	regulation of cucurbitacin biosynthesis	A0A097IYP0		25430763		
TF	GubHLH3	triterpenoid	β-amyrin	regulation of soyasapogenol B biosynthesis	A0A2Z6BDF1		29648666		
TF	TSAR1	triterpenoid	β-amyrin	regulation of soyasaponin biosynthesis	G7KSG4		26589673		
TF	TSAR2	triterpenoid	β-amyrin	regulation of hemolytic saponin biosynthesis	A0A072UWR1		26589673		
TF	TSAR3	triterpenoid	β-amyrin	regulation of hemolytic saponin biosynthesis	A0A6M3RAT3		32303662		
TF	GAME9|JRE4	steroid		regulation of steroidal alkaloid biosynthesis		XP_004229751.1	26876023,27084593		
TF	WsWRKY1	steroid		regulation of withanolide biosynthesis	A0A220QM81		28649699		
TF	MYB186	triterpenoid	α-amyrin|β-amyrin|lupeol	regulation of wax triterpenoid biosynthesis	B9HI97		35298644		
TF	MYB138	triterpenoid	α-amyrin|β-amyrin|lupeol	regulation of wax triterpenoid biosynthesis	B9HI92		35298644		
TF	MYB38	triterpenoid	α-amyrin|β-amyrin|lupeol	regulation of wax triterpenoid biosynthesis	B9HXX6		35298644		
