ID	type	name	pathway	skeleton	function	uniprot	ncbiprotein	pubmed	note
TP0502	OSC	BfOSC1	triterpenoid	β-amyrin	β-amyrin synthase		BBI55112.1	31230357	
TP0503	OSC	BfOSC2	triterpenoid	germanicol	germanicol synthase		BBI55113.1	31230357	
TP0504	OSC	BfOSC3	triterpenoid	α-amyrin	α-amyrin synthase		BBI55114.1	31230357	
TP0505	OSC	BfOSC4	steroid		cycloartenol synthase		BBI55115.1	31230357	
TP0506	OSC	QsOSC1	triterpenoid	lupeol	lupeol synthase	A0A6M6AMF3		32415159	
TP0507	OSC	QsOSC2	triterpenoid	β-amyrin	β-amyrin synthase	A0A6M6AMF7		32415159	
TP0508	OSC	QsOSC3	triterpenoid	friedelin	friedelin synthase	A0A6M6AMI7		32415159	
TP0509	OSC	CcCS	triterpenoid	cucurbitadienol	cucurbitadienol synthase	A0A0D3QXV2		30535727	
TP0510	OSC	LsOSC1	triterpenoid	taraxasterol|ψ-taraxasterol	multifunctional triterpene synthase (taraxasterol, ψ-taraxasterol, etc.)	A0A6C0VBY3		33218626	
TP0511	OSC	LsOSC2	triterpenoid	bauerenol	bauerenol synthase	A0A6C0VBZ8		33218626	
TP0512	OSC	LsOSC3	triterpenoid	β-amyrin	β-amyrin synthase	A0A6C0VCF6		33218626	
TP0513	OSC	LsOSC4	triterpenoid	taraxerol	taraxerol synthase	A0A6C0VCV3		33218626	
TP0514	OSC	LsOSC5	triterpenoid	lupeol	lupeol synthase	A0A2J6KIP0		33218626	
TP0515	OSC	BdOSC2	triterpenoid	isoarborinol	isoarborinol synthase	A0A0Q3HS97		35412884	
TP0516	OSC	TaIAS	triterpenoid	isoarborinol	isoarborinol synthase	A0A3B6MKN7		35412884	
TP0517	OSC	CAS	steroid		cycloartenol synthase	A0A0B5CXC8		25576188	
TP0518	OSC	OSC2	triterpenoid	α-amyrin	α-amyrin synthase	A0A0B4L070		25576188	
TP0519	OSC	LUS	triterpenoid	lupeol	lupeol synthase	A0A0B5CXW5		25576188	
TP0520	OSC	EjAS	triterpenoid	α-amyrin	α-amyrin synthase	J7H6Z7		30216049	
TP0521	OSC	TkOSC1	triterpenoid	taraxasterol	taraxasterol synthase	A0A3G1SVN5		30976052	
TP0522	OSC	TkOSC6	triterpenoid	β-amyrin	β-amyrin synthase	A0A3S7RZ84		30976052	
TP0523	OSC	TkLUP	triterpenoid	lupeol	lupeol synthase	A0A3B1EU92		29948122	
TP0524	P450	CYP716A263	triterpenoid	β-amyrin|lupeol|taraxasterol	3-oxidase	A0A3S5GS06		30976052	
TP0525	OSC	TrOSC	triterpenoid	α-amyrin	α-amyrin synthase	A0A678TRA8		35540266	
TP0526	OSC	Bra032185	triterpenoid	astertarone A	astertarone A synthase	M4ETQ3		29557662	
