"ID"	"order"
"TP0245"	"Lamiales"
"TP0246"	"Rosales"
"TP0247"	"Fabales"
"TP0248"	"Fagales"
"TP0249"	"Aquifoliales"
"TP0251"	"Apiales"
"TP0252"	"Fabales"
"TP0253"	"Lamiales"
"TP0254"	"Lamiales"
"TP0255"	"Lamiales"
"TP0256"	"Myrtales"
"TP0257"	"Myrtales"
"TP0260"	"Apiales"
"TP0261"	"Rosales"
"TP0263"	"Lamiales"
"TP0264"	"Myrtales"
"TP0265"	"Solanales"
"TP0266"	"Apiales"
"TP0268"	"Apiales"
"TP0269"	"Asterales"
"TP0270"	"Apiales"
"TP0271"	"Apiales"
"TP0273"	"Sapindales"
"TP0276"	"Brassicales"
"TP0277"	"Poales"
"TP0278"	"Solanales"
"TP0279"	"Brassicales"
"TP0280"	"Solanales"
"TP0281"	"Rosales"
"TP0282"	"Apiales"
"TP0284"	"Apiales"
"TP0285"	"Apiales"
"TP0286"	"Apiales"
"TP0287"	"Fabales"
"TP0288"	"Fabales"
"TP0289"	"Fabales"
"TP0290"	"Brassicales"
"TP0291"	"Brassicales"
"TP0292"	"Brassicales"
"TP0293"	"Brassicales"
"TP0294"	"Brassicales"
"TP0295"	"Brassicales"
"TP0296"	"Brassicales"
"TP0297"	"Brassicales"
"TP0298"	"Brassicales"
"TP0299"	"Brassicales"
"TP0300"	"Fabales"
"TP0301"	"Fabales"
"TP0302"	"Fabales"
"TP0303"	"Fabales"
"TP0304"	"Fabales"
"TP0305"	"Fabales"
"TP0306"	"Fabales"
"TP0307"	"Fabales"
"TP0308"	"Solanales"
"TP0309"	"Solanales"
"TP0310"	"Solanales"
"TP0311"	"Fabales"
"TP0312"	"Fabales"
"TP0313"	"Apiales"
"TP0314"	"Apiales"
"TP0321"	"Caryophyllales"
"TP0322"	"Cucurbitales"
"TP0323"	"Apiales"
"TP0324"	"Apiales"
"TP0325"	"Aquifoliales"
"TP0330"	"Poales"
"TP0331"	"Fabales"
"TP0334"	"Solanales"
"TP0335"	"Solanales"
"TP0336"	"Apiales"
"TP0337"	"Poales"
"TP0338"	"Fabales"
"TP0339"	"Apiales"
"TP0340"	"Apiales"
"TP0341"	"Apiales"
"TP0342"	"Apiales"
"TP0343"	"Apiales"
"TP0344"	"Apiales"
"TP0345"	"Fabales"
"TP0346"	"Fabales"
"TP0347"	"Fabales"
"TP0348"	"Fabales"
"TP0349"	"Fabales"
"TP0350"	"Caryophyllales"
"TP0353"	"Fabales"
"TP0355"	"Fabales"
"TP0356"	"Fabales"
"TP0359"	"Poales"
"TP0360"	"Poales"
"TP0361"	"Cucurbitales"
"TP0362"	"Cucurbitales"
"TP0363"	"Sapindales"
"TP0368"	"Sapindales"
"TP0372"	"Poales"
"TP0373"	"Brassicales"
"TP0374"	"Brassicales"
"TP0375"	"Brassicales"
"TP0376"	"Fabales"
"TP0377"	"Brassicales"
"TP0378"	"Brassicales"
"TP0379"	"Solanales"
"TP0380"	"Solanales"
"TP0381"	"Brassicales"
"TP0382"	"Brassicales"
"TP0383"	"Poales"
"TP0384"	"Brassicales"
"TP0385"	"Brassicales"
"TP0386"	"Brassicales"
"TP0387"	"Poales"
"TP0388"	"Solanales"
"TP0389"	"Brassicales"
"TP0390"	"Solanales"
"TP0391"	"Solanales"
"TP0392"	"Solanales"
"TP0393"	"Solanales"
"TP0394"	"Solanales"
"TP0395"	"Brassicales"
"TP0396"	"Brassicales"
"TP0397"	"Brassicales"
"TP0398"	"Fabales"
"TP0399"	"Fabales"
"TP0400"	"Fabales"
"TP0401"	"Brassicales"
"TP0402"	"Brassicales"
"TP0403"	"Brassicales"
"TP0404"	"Solanales"
"TP0405"	"Solanales"
"TP0406"	"Solanales"
"TP0407"	"Solanales"
"TP0408"	"Brassicales"
"TP0409"	"Brassicales"
"TP0410"	"Brassicales"
"TP0411"	"Brassicales"
"TP0412"	"Brassicales"
"TP0413"	"Liliales"
"TP0415"	"Sapindales"
"TP0423"	"Brassicales"
"TP0424"	"Brassicales"
"TP0425"	"Brassicales"
"TP0426"	"Brassicales"
"TP0427"	"Brassicales"
"TP0428"	"Brassicales"
"TP0429"	"Brassicales"
"TP0430"	"Cucurbitales"
"TP0431"	"Cucurbitales"
"TP0432"	"Fabales"
"TP0433"	"Fabales"
"TP0434"	"Fabales"
"TP0435"	"Fabales"
"TP0437"	"Solanales"
"TP0438"	"Malpighiales"
"TP0439"	"Malpighiales"
"TP0440"	"Malpighiales"
